survey_year,UNITID,ENRTOT,FTE,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,EFUGFT,EFUG1SFT,EFUGTRFT,EFUGCNFT,EFUGNDFT,EFUGPT,EFUG1SPT,EFUGTRPT,EFUGCNPT,EFUGNDPT,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,EFGRADFT,EFGRADPT,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF01,DVEF02,DVEF03,DVEF05,DVEF06,DVEF07,DVEF09,DVEF10,DVEF11,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTN,RMOUSTTN,RMFRGNCN,RMUNKNWN,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON
2020,459499,25,25,25,0,96,0,0,0,0,0,4,0,0,0,84,4,25,1,0,24,0,25,1,0,24,0,0,0,0,0,0,96,0,0,0,0,0,4,0,0,0,84,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459514,131,131,131,0,8,40,50,0,0,0,1,1,1,0,91,48,131,63,0,68,0,131,63,0,68,0,0,0,0,0,0,8,40,50,0,0,0,1,1,1,0,91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,63,0,0,0,100,0,0,0,0,100,0,0,100,0,,,
2020,459523,28,28,28,0,0,39,14,46,46,0,0,0,0,0,100,96,28,27,0,1,0,28,27,0,1,0,0,0,0,0,0,0,39,14,46,46,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,27,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459532,68,68,68,0,0,0,100,0,0,0,0,0,0,0,99,53,68,36,0,32,0,68,36,0,32,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,36,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459541,35,25,18,17,89,3,9,0,0,0,0,0,0,0,100,17,35,10,0,25,0,18,6,0,12,0,17,4,0,13,0,89,3,9,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459550,133,126,121,12,66,3,6,7,5,2,0,14,4,0,98,10,133,13,0,120,0,121,13,0,108,0,12,0,0,12,0,66,3,6,7,5,2,0,14,4,0,98,0,0,0,,,,,,,,,,,,49,49,0,41,41,0,8,8,0,0,63,37,0,13,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459578,91,70,57,34,47,33,15,0,0,0,0,1,3,0,81,30,91,36,0,55,0,57,27,0,30,0,34,9,0,25,0,47,33,15,0,0,0,0,1,3,0,81,0,0,0,,,,,,,,,,,,39,39,0,20,20,0,19,19,0,0,57,43,0,35,1,0,0,97,3,0,0,0,0,100,0,0,100,,,
2020,459727,2131,1465,1049,1082,41,18,8,6,6,0,0,8,18,0,74,5,518,37,67,390,24,297,26,39,232,0,221,11,28,158,24,45,18,8,3,3,1,1,8,17,0,70,1613,752,861,39,18,8,7,7,0,0,8,18,0,75,,,,,,,,,,,,,,17,20,0,0,46,54,0,0,99,0,1,97,0,3,100,0,0
2020,459736,1321,1233,1178,143,29,5,11,45,45,0,0,6,5,0,61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1321,1178,143,29,5,11,45,45,0,0,6,5,0,61,,,,,,,,,,,,,,,,,,,,,,35,36,28,,,,35,36,28
2020,459745,766,586,475,291,32,41,9,5,5,0,0,4,6,3,85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,766,475,291,32,41,9,5,5,0,0,4,6,3,85,,,,,,,,,,,,,,,,,,,,,,0,20,80,,,,0,20,80
2020,459824,1687,1427,1267,420,42,5,10,34,33,0,0,7,2,0,59,0,40,0,6,34,0,38,0,6,32,0,2,0,0,2,0,38,10,15,28,28,0,3,5,3,0,93,1647,1229,418,42,5,10,34,33,0,0,7,2,0,58,,,,,,,,,,,,,,,,,,,,,,34,66,0,100,0,0,32,68,0
2020,459842,679,534,441,238,43,16,28,11,10,0,1,2,1,0,87,6,667,54,58,554,1,431,39,34,358,0,236,15,24,196,1,42,16,28,11,10,0,1,2,1,0,87,12,10,2,67,8,8,8,8,0,8,0,0,0,58,,,,,,,,,,,,,,19,35,0,0,35,65,0,0,21,49,30,20,50,30,100,0,0
2020,459851,498,343,242,256,46,28,11,7,7,0,1,2,5,0,87,9,494,77,50,366,1,239,43,33,163,0,255,34,17,203,1,45,29,11,7,7,0,1,2,5,0,87,4,3,1,75,0,0,25,25,0,0,0,0,0,75,,,,,,,,,,,,,,75,2,0,0,97,3,0,0,45,34,21,45,34,21,100,0,0
2020,459949,6759,4879,3643,3116,14,6,76,1,1,0,0,2,0,0,63,10,6078,632,1048,4330,68,3468,592,552,2323,1,2610,40,496,2007,67,13,6,77,1,1,0,0,2,0,0,63,681,175,506,23,6,65,2,2,0,0,1,1,1,65,,,,,,,,,,,,,,625,3,4,0,99,0,1,0,71,28,1,70,29,1,79,18,3
2020,459958,390,390,390,0,7,40,46,2,1,1,1,2,3,0,77,10,390,38,52,300,0,390,38,52,300,0,0,0,0,0,0,7,40,46,2,1,1,1,2,3,0,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,459967,651,651,651,0,19,0,81,0,0,0,0,0,0,0,62,29,651,192,0,459,0,651,192,0,459,0,0,0,0,0,0,19,0,81,0,0,0,0,0,0,0,62,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,191,1,0,0,99,1,0,0,0,8,92,0,8,92,,,
2020,459985,581,581,581,0,21,0,79,0,0,0,0,0,0,0,51,28,581,164,0,417,0,581,164,0,417,0,0,0,0,0,0,21,0,79,0,0,0,0,0,0,0,51,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,164,0,0,0,100,0,0,0,0,6,94,0,6,94,,,
2020,459994,10457,4581,830,9627,43,35,11,4,3,0,1,4,3,0,66,0,7124,352,1413,5350,9,339,2,65,272,0,6785,350,1348,5078,9,46,33,11,1,1,0,1,4,3,0,70,3333,491,2842,37,38,9,9,9,0,0,4,3,0,57,,,,,,,,,,,,,,2,332,0,18,1,94,0,5,100,0,0,100,0,0,100,0,0
2020,460011,156,111,81,75,44,56,0,0,0,0,0,0,0,0,98,6,156,14,0,142,0,81,9,0,72,0,75,5,0,70,0,44,56,0,0,0,0,0,0,0,0,98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0,100,0,0,0,0,0,100,0,0,100,,,
2020,460020,569,568,568,1,18,78,2,1,0,0,0,2,0,0,84,10,569,55,72,442,0,568,55,72,441,0,1,0,0,1,0,18,78,2,1,0,0,0,2,0,0,84,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,54,1,0,0,98,2,0,0,0,43,57,0,43,57,,,
2020,460093,58,58,58,0,78,9,3,0,0,0,2,5,3,0,90,43,58,25,0,33,0,58,25,0,33,0,0,0,0,0,0,78,9,3,0,0,0,2,5,3,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,25,0,0,0,100,0,0,0,0,60,40,0,60,40,,,
