SchoolID,TotalExpenses
144218,
144500,531444783
144564,32933018
144865,239002944
144892,161033258
144944,125328661
145336,109620540
145521,27225983
145600,3248061411
145637,2776202683
145682,100773182
145707,
145813,573600739
145831,43251881
146205,44089835
146278,24724164
146296,163119227
146348,38645727
146366,36822101
146418,43522281
146472,177658954
146506,73470508
146603,61795789
146685,75529154
147004,67620999
147378,128501688
147411,52937759
147703,472528849
147776,135497190
147800,109485277
147916,98100553
148007,48064707
148256,28940524
148292,37678941
148380,77233755
148654,111192169
148672,21919033
148821,19978957
148937,16994523
148991,18204236
149222,704462804
149231,332150962
149240,6359064
149365,43655775
149532,88527076
149587,223970450
149727,96408783
149772,200238082
149842,177138811
150136,473404626
150987,630026947
151102,138245150
151111,1497112322
151306,160607066
151324,234585815
151333,38078484
151342,61294766
151351,1988476124
151360,53277813
151379,51315428
151388,35773055
152637,129397242
153214,185980010
153296,17925168
153311,70233358
153445,66066363
153472,57117163
153524,76016547
153533,45044123
153603,1403870589
153630,68274000
153658,4639463000
153737,189565329
153922,29246327
154059,47809516
154095,254920216
154110,56481467
154129,23555380
154378,41740030
154396,22287372
154572,59892993
154642,13204292
154697,44191065
154800,72483301
154907,19696095
154925,23524851
154934,19142556
154952,32022313
154998,38428395
155025,93857416
155052,9769174
155061,156135073
155098,20903097
155104,37956697
155140,35976055
155186,24739100
155195,61617718
155201,17430823
155210,212603349
155292,71122918
155317,1564691910
155399,891477117
155423,
155450,15062049
155487,8160971
155566,24138579
155593,12699306
155618,9962083
155681,117602632
155715,21331131
155830,8442056
155858,26284419
156082,107241111
156107,44746901
156125,567716079
156231,
156338,
156392,
156620,312059824
156648,
156790,
156851,
156860,
156921,
157058,85966369
157085,5428688839
157289,1222977000
157304,
157331,
157386,153929964
157401,179660561
157438,
157447,279013000
157483,
157553,
157711,
157739,
157854,579148188
157951,294605782
158088,17453946
158431,53871185
158662,135087693
158884,21916122
159009,108272306
159373,943169226
159382,43902955
159391,1520489824
159407,27392712
159416,85999625
159647,211741743
159717,95740394
159939,179310299
159966,92642271
159993,150668394
160010,13126936
160038,117112848
160481,23395672
160533,10924955
160579,35938550
160612,184983121
160621,169554863
160630,50084161
160649,46779282
160658,410333119
160667,27990232
161077,22832028
161138,22797280
161192,19612078
161217,53777000
161226,46892000
161235,17950000
161253,471481000
161280,81200000
161299,44941444
161341,25700000
161484,16618030
161545,50173989
161554,211191000
161581,9125571
161688,39556888
161767,153619117
161864,74836760
161873,119235014
162007,191801187
162104,34389456
162122,74464817
162168,35148533
162283,100965632
162557,75048769
162584,116349231
162609,17777637
162690,48882456
162706,68745920
162779,121964770
163204,453160747
163259,1401532443
163268,564638565
163286,2417238070
163338,152996605
163426,346170032
163453,426592054
163657,157207873
163851,201877319
163912,89479970
164076,502520640
164146,49811171
164155,
164313,42405728
164535,
164775,32912170
165024,225735536
165033,83785767
165112,104070889
165194,43230145
165608,
165820,121349972
165866,132841012
165981,28810124
166133,64891578
166513,554988000
166629,1515351977
166638,491737000
166647,49011156
166665,100729000
166674,88758198
166692,80441032
166708,1039026755
166823,59407119
166887,70716599
166957,56875774
167288,48410654
167312,67448989
167376,63717027
167525,24742240
167534,83879082
167631,36357085
167729,173833496
167871,
167905,71560183
167987,291221000
168263,121422908
168430,119767211
168607,18932742
168883,22954468
169248,454644042
169275,99362015
