SchoolID,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentNative,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercent2Plus,GraduatePercentUnknown,GraduatePercentWomen
110653,6296,31,2,11,17,17,0,0,3,5,47
110662,12960,32,3,12,19,18,0,0,4,4,47
110671,3341,32,3,13,12,12,0,1,4,3,44
110680,7602,28,2,8,14,14,0,0,3,3,39
110699,3114,32,5,14,34,34,0,0,5,6,63
110705,2906,44,3,9,10,10,0,1,1,3,44
110714,1908,41,1,11,8,8,0,0,5,5,44
110778,1210,3,0,0,2,1,0,0,0,6,55
110875,0,,,,,,,,,,
110918,0,,,,,,,,,,
111054,0,,,,,,,,,,
111081,496,37,5,9,7,7,0,0,4,3,58
111188,29,14,3,7,0,0,0,0,0,72,17
111391,802,40,5,14,8,7,1,0,13,17,55
111434,0,,,,,,,,,,
111461,0,,,,,,,,,,
111513,0,,,,,,,,,,
111638,0,,,,,,,,,,
111708,0,,,,,,,,,,
111717,0,,,,,,,,,,
111726,0,,,,,,,,,,
111744,0,,,,,,,,,,
111762,0,,,,,,,,,,
111799,0,,,,,,,,,,
111887,0,,,,,,,,,,
111896,0,,,,,,,,,,
111920,0,,,,,,,,,,
111939,0,,,,,,,,,,
111948,2327,38,2,16,21,21,0,0,6,4,60
111966,424,7,35,22,26,26,0,0,3,6,75
112075,2374,50,8,22,6,6,0,0,4,8,59
112084,75,63,3,23,3,3,0,0,3,7,72
112127,87,89,2,2,1,1,0,1,2,0,57
112172,0,,,,,,,,,,
112181,0,,,,,,,,,,
112190,0,,,,,,,,,,
112251,1882,34,7,14,10,9,1,1,3,9,57
112260,3,67,0,0,0,0,0,0,33,0,0
112288,0,,,,,,,,,,
112367,0,,,,,,,,,,
112385,0,,,,,,,,,,
112394,4,25,0,50,0,0,0,0,25,0,25
112455,0,,,,,,,,,,
112525,3833,35,3,14,32,32,0,0,9,5,61
112561,0,,,,,,,,,,
112570,0,,,,,,,,,,
112686,0,,,,,,,,,,
112826,0,,,,,,,,,,
113096,0,,,,,,,,,,
113111,0,,,,,,,,,,
113193,0,,,,,,,,,,
113218,0,,,,,,,,,,
113236,0,,,,,,,,,,
113333,0,,,,,,,,,,
113449,0,,,,,,,,,,
113537,20,45,0,5,5,5,0,0,10,5,55
113573,0,,,,,,,,,,
113582,0,,,,,,,,,,
113634,0,,,,,,,,,,
113698,424,50,3,17,17,17,0,0,4,7,78
113704,57,53,2,5,14,14,0,0,0,7,12
113856,0,,,,,,,,,,
113980,0,,,,,,,,,,
114044,0,,,,,,,,,,
114114,189,8,6,7,21,21,0,1,49,2,70
114123,71,73,4,14,3,3,0,3,0,3,51
114266,0,,,,,,,,,,
114354,6,17,0,17,0,0,0,0,17,0,67
114390,0,,,,,,,,,,
114415,0,,,,,,,,,,
114433,0,,,,,,,,,,
114460,0,,,,,,,,,,
114549,989,51,17,11,4,4,0,2,5,10,76
114585,324,32,1,3,51,51,0,0,0,0,72
114637,0,,,,,,,,,,
114716,0,,,,,,,,,,
114734,47,55,0,32,11,9,2,0,0,0,53
114761,0,,,,,,,,,,
114789,0,,,,,,,,,,
114813,1386,45,3,39,7,6,1,1,0,5,72
114840,2361,47,7,6,13,13,0,0,11,4,43
114859,0,,,,,,,,,,
114938,0,,,,,,,,,,
114947,0,,,,,,,,,,
115001,0,,,,,,,,,,
115010,0,,,,,,,,,,
115083,2100,28,7,12,16,15,1,1,1,17,52
115126,0,,,,,,,,,,
115214,196,41,5,3,14,11,3,1,3,11,43
115296,0,,,,,,,,,,
115357,0,,,,,,,,,,
115393,0,,,,,,,,,,
115409,0,,,,,,,,,,
