SchoolID,TotalEnrollment,GraduateEnrollment,GraduatePercentWhite,GraduatePercentBlack,GraduatePercentHispanic,GraduatePercentAsian,GraduatePercentIndian,GraduatePercentHawaiian,GraduatePercentMixed,GraduatePercentTwoPlus,GraduatePercentUnknown,GraduatePercentInternational,GraduatePercentWomen,GraduatePercentMen
120953,3461,0,,,,,,,,,,,,
120971,18815,0,,,,,,,,,,,,
121044,23592,0,,,,,,,,,,,,
121257,1204,0,,,,,,,,,,,,
121345,1664,0,,,,,,,,,,,,
121363,4939,0,,,,,,,,,,,,
121433,90,0,,,,,,,,,,,,
121619,26073,0,,,,,,,,,,,,
121637,101,0,,,,,,,,,,,,
121707,4260,0,,,,,,,,,,,,
121859,238,0,,,,,,,,,,,,
121868,216,0,,,,,,,,,,,,
121886,17193,0,,,,,,,,,,,,
121901,20437,0,,,,,,,,,,,,
122180,19031,0,,,,,,,,,,,,
122205,18370,0,,,,,,,,,,,,
122339,13197,0,,,,,,,,,,,,
122375,19243,0,,,,,,,,,,,,
122384,13569,0,,,,,,,,,,,,
122658,18226,0,,,,,,,,,,,,
122685,2369,0,,,,,,,,,,,,
122694,820,0,,,,,,,,,,,,
122746,8400,0,,,,,,,,,,,,
122791,9208,0,,,,,,,,,,,,
122889,12345,0,,,,,,,,,,,,
122977,23164,0,,,,,,,,,,,,
123013,16803,0,,,,,,,,,,,,
123217,13586,0,,,,,,,,,,,,
123299,8081,0,,,,,,,,,,,,
123341,17420,0,,,,,,,,,,,,
123350,245,0,,,,,,,,,,,,
123484,1430,0,,,,,,,,,,,,
123493,90,0,,,,,,,,,,,,
123509,9428,0,,,,,,,,,,,,
123527,12982,0,,,,,,,,,,,,
123563,8868,0,,,,,,,,,,,,
123642,241,0,,,,,,,,,,,,
123679,202,0,,,,,,,,,,,,
123800,18469,0,,,,,,,,,,,,
124113,4135,0,,,,,,,,,,,,
124292,539,0,,,,,,,,,,,,
124681,1036,0,,,,,,,,,,,,
124706,260,0,,,,,,,,,,,,
124937,143,0,,,,,,,,,,,,
125028,11367,0,,,,,,,,,,,,
125082,80,0,,,,,,,,,,,,
125091,15372,0,,,,,,,,,,,,
125170,6547,0,,,,,,,,,,,,
125310,46,0,,,,,,,,,,,,
125462,3592,0,,,,,,,,,,,,
125471,9299,0,,,,,,,,,,,,
125499,7272,0,,,,,,,,,,,,
125532,2288,0,,,,,,,,,,,,
125727,1310,0,,,,,,,,,,,,
126076,157,0,,,,,,,,,,,,
126119,5735,0,,,,,,,,,,,,
126207,7529,0,,,,,,,,,,,,
126289,13978,0,,,,,,,,,,,,
126359,161,0,,,,,,,,,,,,
126605,321,0,,,,,,,,,,,,
126687,196,0,,,,,,,,,,,,
126711,5673,0,,,,,,,,,,,,
126748,1256,0,,,,,,,,,,,,
126784,108,0,,,,,,,,,,,,
126863,8684,0,,,,,,,,,,,,
126915,247,0,,,,,,,,,,,,
126942,7715,0,,,,,,,,,,,,
126951,1104,0,,,,,,,,,,,,
127158,5914,0,,,,,,,,,,,,
127200,21096,0,,,,,,,,,,,,
127316,307,0,,,,,,,,,,,,
127389,711,0,,,,,,,,,,,,
127617,1506,0,,,,,,,,,,,,
127714,584,0,,,,,,,,,,,,
127732,1502,0,,,,,,,,,,,,
127778,972,0,,,,,,,,,,,,
127820,12388,0,,,,,,,,,,,,
127884,6767,0,,,,,,,,,,,,
127945,1888,0,,,,,,,,,,,,
128151,1025,0,,,,,,,,,,,,
128179,816,0,,,,,,,,,,,,
128188,1160,0,,,,,,,,,,,,
128258,1636,0,,,,,,,,,,,,
128328,4124,0,,,,,,,,,,,,
128337,104,0,,,,,,,,,,,,
128586,50,0,,,,,,,,,,,,
128896,220,0,,,,,,,,,,,,
128902,1995,0,,,,,,,,,,,,
129002,333,0,,,,,,,,,,,,
129181,971,0,,,,,,,,,,,,
129349,191,0,,,,,,,,,,,,
129367,34991,0,,,,,,,,,,,,
129482,396,0,,,,,,,,,,,,
129774,500,0,,,,,,,,,,,,
129923,783,0,,,,,,,,,,,,
129932,293,0,,,,,,,,,,,,
130174,1405,0,,,,,,,,,,,,
130624,1081,0,,,,,,,,,,,,
130837,43,0,,,,,,,,,,,,
130873,385,0,,,,,,,,,,,,
130907,13231,0,,,,,,,,,,,,
131061,166,0,,,,,,,,,,,,
131830,25,0,,,,,,,,,,,,
132374,2953,0,,,,,,,,,,,,
132675,81,0,,,,,,,,,,,,
132693,13601,0,,,,,,,,,,,,
132709,29140,0,,,,,,,,,,,,
132851,5747,0,,,,,,,,,,,,
132879,136,0,,,,,,,,,,,,
132976,310,0,,,,,,,,,,,,
133021,1820,0,,,,,,,,,,,,
133155,767,0,,,,,,,,,,,,
133386,11807,0,,,,,,,,,,,,
133492,1986,0,,,,,,,,,,,,
133508,13860,0,,,,,,,,,,,,
133702,20530,0,,,,,,,,,,,,
133809,657,0,,,,,,,,,,,,
133845,140,0,,,,,,,,,,,,
133854,137,0,,,,,,,,,,,,
133863,132,0,,,,,,,,,,,,
133960,854,0,,,,,,,,,,,,
133997,130,0,,,,,,,,,,,,
134024,32,0,,,,,,,,,,,,
134228,30,0,,,,,,,,,,,,
134291,652,0,,,,,,,,,,,,
134307,922,0,,,,,,,,,,,,
134343,4959,0,,,,,,,,,,,,
134422,19,0,,,,,,,,,,,,
134495,20004,0,,,,,,,,,,,,
134529,286,0,,,,,,,,,,,,
134574,138,0,,,,,,,,,,,,
